time,distance,filtered,setpoint,error,control,beam_angle
0.0,126.0,126.0,125.0,-1.0,0.0,-0.31
0.065,126.0,126.0,125.0,-1.0,0.0,-0.31
0.13,126.0,126.0,125.0,-1.0,0.0,-0.31
0.195,126.0,126.0,125.0,-1.0,0.0,-0.31
0.26,126.0,126.0,125.0,-1.0,0.0,-0.31
0.325,126.0,126.0,125.0,-1.0,0.0,-0.31
0.39,126.0,126.0,125.0,-1.0,0.0,-0.31
0.455,126.0,126.0,125.0,-1.0,0.0,-0.31
0.52,126.0,126.0,125.0,-1.0,0.0,-0.31
0.585,126.0,126.0,125.0,-1.0,0.0,-0.31
0.65,126.0,126.0,125.0,-1.0,0.0,-0.31
0.715,126.0,126.0,125.0,-1.0,0.0,-0.31
0.78,126.0,126.0,125.0,-1.0,0.0,-0.31
0.845,126.0,126.0,125.0,-1.0,0.0,-0.31
0.91,126.0,126.0,125.0,-1.0,0.0,-0.31
0.975,126.0,126.0,125.0,-1.0,0.0,-0.31
1.04,126.0,126.0,125.0,-1.0,0.0,-0.31
1.105,126.0,126.0,125.0,-1.0,0.0,-0.31
1.17,126.0,126.0,125.0,-1.0,0.0,-0.31
1.235,126.0,126.0,125.0,-1.0,0.0,-0.31
1.3,126.0,126.0,40.0,-86.0,-12.0,-0.31
1.365,126.0,126.0,40.0,-86.0,-22.0,-0.31
1.43,126.0,126.0,40.0,-86.0,-22.0,1.32
1.495,126.0,126.0,40.0,-86.0,-22.0,3.26
1.56,125.0,125.0,40.0,-85.0,-21.0,3.77
1.625,122.0,122.0,40.0,-82.0,-17.0,3.77
1.69,112.0,114.0,40.0,-74.0,-6.0,3.36
1.755,109.0,110.0,40.0,-70.0,-7.0,2.95
1.82,101.0,103.0,40.0,-63.0,-4.0,2.14
1.885,92.0,93.0,40.0,-53.0,4.0,1.12
1.949,84.0,84.0,40.0,-44.0,4.0,1.02
2.013,80.0,80.0,40.0,-40.0,-1.0,0.71
2.077,66.0,68.0,40.0,-28.0,10.0,-1.53
2.142,58.0,61.0,40.0,-21.0,11.0,-0.71
2.207,50.0,52.0,40.0,-12.0,15.0,-1.53
2.272,42.0,45.0,40.0,-5.0,15.0,-2.14
2.337,38.0,39.0,40.0,1.0,13.0,-2.95
2.401,32.0,32.0,40.0,8.0,14.0,-3.16
2.465,30.0,30.0,40.0,10.0,7.0,-3.26
2.529,25.0,26.0,40.0,14.0,9.0,-3.67
2.593,24.0,24.0,40.0,16.0,8.0,-2.95
2.657,24.0,24.0,40.0,16.0,5.0,-2.55
2.721,26.0,26.0,40.0,14.0,0.0,-2.14
2.785,28.0,28.0,40.0,12.0,-1.0,-1.32
2.85,29.0,29.0,40.0,11.0,0.0,-1.02
2.914,31.0,31.0,40.0,9.0,-1.0,-0.51
2.978,32.0,32.0,40.0,8.0,0.0,-0.31
3.042,33.0,32.0,40.0,8.0,1.0,-0.41
3.106,33.0,33.0,40.0,7.0,1.0,-0.41
3.17,34.0,34.0,40.0,6.0,0.0,-0.41
3.234,35.0,34.0,40.0,6.0,1.0,-0.61
3.298,34.0,34.0,40.0,6.0,2.0,-0.51
3.362,34.0,34.0,40.0,6.0,2.0,-0.51
3.426,34.0,34.0,40.0,6.0,2.0,-0.51
3.49,34.0,34.0,40.0,6.0,2.0,-0.71
3.554,34.0,34.0,40.0,6.0,2.0,-0.71
3.618,34.0,34.0,40.0,6.0,2.0,-0.71
3.682,34.0,34.0,40.0,6.0,2.0,-0.71
3.746,34.0,34.0,40.0,6.0,2.0,-0.71
3.81,34.0,34.0,40.0,6.0,2.0,-0.71
3.874,34.0,34.0,40.0,6.0,2.0,-0.71
3.938,34.0,34.0,40.0,6.0,2.0,-0.71
4.002,34.0,34.0,40.0,6.0,2.0,-0.71
4.066,34.0,34.0,40.0,6.0,2.0,-0.71
4.13,34.0,34.0,40.0,6.0,2.0,-0.71
4.194,34.0,34.0,40.0,6.0,2.0,-0.71
4.258,34.0,34.0,40.0,6.0,2.0,-0.71
4.322,34.0,34.0,40.0,6.0,2.0,-0.71
4.386,34.0,34.0,40.0,6.0,2.0,-0.71
4.45,34.0,34.0,40.0,6.0,2.0,-0.71
