time,distance,filtered,setpoint,error,control,beam_angle
0.0,115.0,115.0,30.0,0.0,0.0,0.26
0.034,115.0,115.0,30.0,0.0,0.0,0.26
0.068,115.0,115.0,30.0,0.0,100.0,0.26
0.102,115.0,115.0,30.0,0.0,100.0,0.26
0.136,115.0,115.0,30.0,0.0,100.0,0.26
0.17,115.0,115.0,30.0,0.0,100.0,0.37
0.204,115.0,115.0,30.0,0.0,100.0,0.37
0.238,115.0,115.0,30.0,0.0,100.0,0.37
0.272,115.0,115.0,30.0,0.0,100.0,0.37
0.306,115.0,115.0,30.0,0.0,100.0,0.37
0.34,115.0,115.0,30.0,0.0,100.0,0.37
0.374,115.0,115.0,30.0,0.0,100.0,0.37
0.408,115.0,115.0,30.0,0.0,100.0,0.37
0.442,115.0,115.0,30.0,0.0,100.0,0.26
0.476,115.0,115.0,30.0,0.0,100.0,0.26
0.51,115.0,115.0,30.0,0.0,100.0,0.26
0.544,115.0,115.0,30.0,0.0,100.0,0.26
0.578,115.0,115.0,30.0,0.0,100.0,0.26
0.612,115.0,115.0,30.0,0.0,100.0,0.26
0.646,115.0,115.0,30.0,0.0,100.0,0.37
0.68,115.0,115.0,30.0,0.0,100.0,0.37
0.714,115.0,115.0,30.0,0.0,100.0,0.37
0.748,115.0,115.0,30.0,0.0,100.0,0.37
0.782,115.0,115.0,30.0,0.0,100.0,0.37
0.816,115.0,115.0,30.0,0.0,100.0,0.37
0.85,115.0,115.0,30.0,0.0,100.0,0.26
0.884,115.0,115.0,30.0,0.0,100.0,0.26
0.918,115.0,115.0,30.0,0.0,100.0,0.26
0.952,115.0,115.0,30.0,0.0,100.0,0.26
0.986,115.0,115.0,30.0,0.0,100.0,0.37
1.02,115.0,115.0,30.0,0.0,100.0,0.37
1.054,115.0,115.0,30.0,0.0,100.0,0.37
1.088,115.0,115.0,30.0,0.0,100.0,0.37
1.122,115.0,115.0,30.0,0.0,100.0,0.26
1.156,115.0,115.0,30.0,0.0,100.0,0.26
1.19,115.0,115.0,30.0,0.0,92.0,0.37
1.224,115.0,115.0,30.0,0.0,92.0,0.37
1.258,115.0,115.0,30.0,0.0,92.0,0.37
1.292,115.0,115.0,30.0,0.0,92.0,0.37
1.326,115.0,115.0,30.0,0.0,92.0,0.89
1.36,115.0,115.0,30.0,0.0,92.0,0.89
1.394,115.0,115.0,30.0,0.0,92.0,1.3
1.428,115.0,115.0,30.0,0.0,92.0,1.3
1.462,114.0,115.0,30.0,0.0,92.0,1.3
1.496,114.0,114.0,30.0,0.0,92.0,1.41
1.53,114.0,114.0,30.0,0.0,92.0,1.41
1.564,113.0,114.0,30.0,0.0,92.0,1.3
1.598,113.0,113.0,30.0,0.0,92.0,1.3
1.632,113.0,113.0,30.0,0.0,92.0,1.3
