time,distance,filtered,setpoint,error,control,beam_angle
0.0,126.0,126.0,125.0,-1.0,0.0,-0.71
0.065,126.0,126.0,125.0,-1.0,0.0,-0.31
0.13,126.0,126.0,125.0,-1.0,0.0,-0.21
0.195,126.0,126.0,125.0,-1.0,0.0,-0.21
0.26,125.0,125.0,125.0,0.0,1.0,-0.21
0.324,126.0,126.0,125.0,-1.0,-2.0,-0.31
0.389,126.0,126.0,125.0,-1.0,0.0,-0.51
0.454,126.0,126.0,125.0,-1.0,0.0,-0.31
0.519,126.0,126.0,125.0,-1.0,0.0,-0.21
0.584,126.0,126.0,125.0,-1.0,0.0,-0.21
0.649,126.0,126.0,125.0,-1.0,0.0,-0.21
0.714,126.0,126.0,125.0,-1.0,0.0,-0.21
0.779,125.0,125.0,125.0,0.0,2.0,-0.21
0.843,125.0,125.0,125.0,0.0,0.0,-0.21
0.907,125.0,125.0,125.0,0.0,0.0,-0.51
0.971,125.0,125.0,125.0,0.0,0.0,-0.51
1.035,126.0,126.0,82.0,-44.0,-8.0,-0.51
1.1,126.0,126.0,82.0,-44.0,-12.0,-0.51
1.165,127.0,127.0,82.0,-45.0,-13.0,0.0
1.23,127.0,127.0,82.0,-45.0,-12.0,0.0
1.295,126.0,126.0,82.0,-44.0,-9.0,2.13
1.36,125.0,125.0,82.0,-43.0,-9.0,2.13
1.425,119.0,121.0,82.0,-39.0,-4.0,1.52
1.49,119.0,120.0,82.0,-38.0,-7.0,1.52
1.555,113.0,113.0,82.0,-31.0,2.0,1.12
1.62,106.0,108.0,82.0,-26.0,4.0,0.51
1.685,104.0,104.0,82.0,-22.0,3.0,-0.1
1.75,100.0,100.0,82.0,-18.0,2.0,-0.92
1.815,98.0,98.0,82.0,-16.0,0.0,-1.02
1.88,94.0,95.0,82.0,-13.0,3.0,-1.12
1.945,93.0,93.0,82.0,-11.0,2.0,-0.92
2.009,92.0,92.0,82.0,-10.0,0.0,-0.71
2.073,92.0,92.0,82.0,-10.0,-2.0,-0.71
2.138,92.0,92.0,82.0,-10.0,-3.0,-0.51
2.203,92.0,92.0,82.0,-10.0,-3.0,-0.1
2.268,92.0,92.0,82.0,-10.0,-3.0,0.0
2.332,92.0,92.0,82.0,-10.0,-3.0,0.1
2.396,93.0,92.0,82.0,-10.0,-3.0,0.1
2.46,92.0,92.0,82.0,-10.0,-3.0,0.1
2.524,92.0,92.0,82.0,-10.0,-3.0,0.1
2.588,92.0,92.0,82.0,-10.0,-3.0,0.1
2.652,92.0,92.0,82.0,-10.0,-3.0,0.1
2.716,92.0,92.0,82.0,-10.0,-3.0,0.1
2.78,92.0,92.0,82.0,-10.0,-3.0,0.1
2.844,92.0,92.0,82.0,-10.0,-3.0,0.1
2.908,92.0,92.0,82.0,-10.0,-3.0,0.1
2.972,92.0,92.0,82.0,-10.0,-3.0,0.1
3.036,92.0,92.0,82.0,-10.0,-3.0,0.1
3.1,92.0,92.0,82.0,-10.0,-3.0,0.1
3.164,92.0,92.0,82.0,-10.0,-3.0,0.1
3.228,92.0,92.0,82.0,-10.0,-3.0,0.1
3.292,92.0,92.0,82.0,-10.0,-3.0,0.1
3.356,92.0,92.0,82.0,-10.0,-3.0,0.1
3.42,92.0,92.0,82.0,-10.0,-3.0,0.1
3.484,92.0,92.0,82.0,-10.0,-3.0,0.1
3.548,92.0,92.0,82.0,-10.0,-3.0,0.1
3.612,92.0,92.0,82.0,-10.0,-3.0,0.1
3.676,92.0,92.0,82.0,-10.0,-3.0,0.1
3.74,92.0,92.0,82.0,-10.0,-3.0,0.1
3.804,92.0,92.0,82.0,-10.0,-3.0,0.1
3.868,92.0,92.0,82.0,-10.0,-3.0,0.1
3.932,92.0,92.0,82.0,-10.0,-3.0,0.1
3.996,92.0,92.0,82.0,-10.0,-3.0,0.1
4.06,92.0,92.0,82.0,-10.0,-3.0,0.1
4.124,92.0,92.0,82.0,-10.0,-3.0,0.1
4.188,92.0,92.0,82.0,-10.0,-3.0,0.1
4.252,92.0,92.0,82.0,-10.0,-3.0,0.1
4.316,92.0,92.0,82.0,-10.0,-3.0,0.1
4.38,92.0,92.0,82.0,-10.0,-3.0,0.1
4.444,92.0,92.0,82.0,-10.0,-3.0,0.1
4.508,92.0,92.0,82.0,-10.0,-3.0,0.1
4.572,92.0,92.0,82.0,-10.0,-3.0,0.1
4.636,92.0,92.0,82.0,-10.0,-3.0,0.1
