time,distance,filtered,setpoint,error,control,beam_angle
0.0,125.0,125.0,125.0,0.0,0.0,-0.31
0.064,125.0,125.0,125.0,0.0,0.0,-0.31
0.128,125.0,125.0,125.0,0.0,0.0,-0.31
0.192,125.0,125.0,125.0,0.0,0.0,-0.31
0.256,125.0,125.0,125.0,0.0,0.0,-0.31
0.32,125.0,125.0,125.0,0.0,0.0,-0.31
0.384,125.0,125.0,125.0,0.0,0.0,-0.31
0.448,125.0,125.0,125.0,0.0,0.0,-0.31
0.512,125.0,125.0,125.0,0.0,0.0,-0.31
0.576,125.0,125.0,125.0,0.0,0.0,-0.31
0.64,125.0,125.0,125.0,0.0,0.0,-0.31
0.704,125.0,125.0,125.0,0.0,0.0,-0.31
0.768,125.0,125.0,175.0,50.0,5.0,-0.31
0.833,125.0,125.0,175.0,50.0,13.0,-0.31
0.898,125.0,125.0,175.0,50.0,13.0,-1.32
0.963,125.0,125.0,175.0,50.0,13.0,-1.32
1.028,127.0,126.0,175.0,49.0,11.0,-3.15
1.093,130.0,129.0,175.0,46.0,6.0,-2.95
1.158,132.0,131.0,175.0,44.0,8.0,-2.95
1.223,137.0,136.0,175.0,39.0,3.0,-2.14
1.288,139.0,139.0,175.0,36.0,3.0,-1.83
1.353,147.0,145.0,175.0,30.0,-1.0,-1.12
1.418,152.0,150.0,175.0,25.0,-5.0,-0.92
1.483,154.0,154.0,175.0,21.0,-2.0,-0.71
1.548,161.0,160.0,175.0,15.0,-6.0,0.2
1.613,161.0,161.0,175.0,14.0,0.0,0.2
1.678,166.0,166.0,175.0,9.0,-4.0,0.71
1.743,169.0,168.0,175.0,7.0,-3.0,0.0
1.807,170.0,170.0,175.0,5.0,-2.0,0.1
1.872,171.0,171.0,175.0,4.0,0.0,0.1
1.936,172.0,172.0,175.0,3.0,-1.0,0.1
2.001,172.0,172.0,175.0,3.0,0.0,0.1
2.065,171.0,172.0,175.0,3.0,1.0,-0.31
2.13,171.0,171.0,175.0,4.0,2.0,-0.31
2.195,171.0,171.0,175.0,4.0,1.0,-0.41
2.26,171.0,171.0,175.0,4.0,1.0,-0.61
2.325,170.0,170.0,175.0,5.0,3.0,-0.92
2.39,170.0,170.0,175.0,5.0,2.0,-0.92
2.455,170.0,170.0,175.0,5.0,2.0,-1.12
2.52,171.0,171.0,175.0,4.0,0.0,-1.02
2.585,171.0,171.0,175.0,4.0,1.0,-1.02
2.65,172.0,171.0,175.0,4.0,1.0,-0.51
2.714,172.0,172.0,175.0,3.0,0.0,-0.51
2.778,172.0,172.0,175.0,3.0,1.0,-0.51
2.842,172.0,172.0,175.0,3.0,1.0,-0.51
2.906,172.0,172.0,175.0,3.0,1.0,-0.51
2.97,171.0,171.0,175.0,4.0,2.0,-0.51
3.034,171.0,171.0,175.0,4.0,1.0,-0.51
3.098,171.0,171.0,175.0,4.0,1.0,-0.61
3.162,170.0,170.0,175.0,5.0,4.0,-0.92
3.226,170.0,170.0,175.0,5.0,2.0,-0.92
3.29,171.0,171.0,175.0,4.0,0.0,-0.92
3.354,171.0,171.0,175.0,4.0,1.0,-0.92
3.418,171.0,171.0,175.0,4.0,1.0,-0.92
3.482,171.0,171.0,175.0,4.0,1.0,-0.51
3.546,171.0,171.0,175.0,4.0,1.0,-0.51
3.61,171.0,171.0,175.0,4.0,1.0,-0.51
3.674,171.0,171.0,175.0,4.0,1.0,-0.51
3.738,171.0,171.0,175.0,4.0,1.0,-0.51
3.802,171.0,171.0,175.0,4.0,1.0,-0.51
3.866,171.0,171.0,175.0,4.0,1.0,-0.51
3.93,171.0,171.0,175.0,4.0,1.0,-0.51
3.994,171.0,171.0,175.0,4.0,1.0,-0.51
4.058,171.0,171.0,175.0,4.0,1.0,-0.51
4.122,171.0,171.0,175.0,4.0,1.0,-0.51
4.186,171.0,171.0,175.0,4.0,1.0,-0.51
4.25,171.0,171.0,175.0,4.0,1.0,-0.51
4.314,171.0,171.0,175.0,4.0,1.0,-0.51
4.378,171.0,171.0,175.0,4.0,1.0,-0.51
4.442,171.0,171.0,175.0,4.0,1.0,-0.51
4.506,171.0,171.0,175.0,4.0,1.0,-0.51
